eventid,iyear,imonth,iday,provstate,city,latitude,longitude,vicinity,crit1,crit2,crit3,doubtterr,alternative_txt,multiple,success,suicide,attacktype1_txt,attacktype2_txt,targtype1_txt,targsubtype1_txt,corp1,target1,natlty1_txt,targtype2_txt,targsubtype2_txt,corp2,target2,natlty2_txt,targtype3_txt,targsubtype3_txt,corp3,target3,natlty3_txt,gname,gname2,gsubname2,individual,nperps,nperpcap,claimed,claimmode_txt,weaptype1_txt,weapsubtype1_txt,weaptype2_txt,weapsubtype2_txt,weaptype3_txt,weapsubtype3_txt,nkill,nkillus,nkillter,nwound,nwoundus,nwoundte,property,propextent_txt,ishostkid,nhostkid,nhostkidus,nhours,ransom,hostkidoutcome,hostkidoutcome_txt,nreleased,INT_LOG,INT_IDEO,INT_MISC,INT_ANY,Twitter
201511150043,2015,11,15,Connecticut,Meriden,41.519714,-72.840257,0,1,1,1,0,,0,1,0,Armed Assault,,Religious Figures/Institutions,Place of Worship,Baitul Aman Mosque,Mosque,United States,,,,,,,,,,,Anti-Muslim extremists,,,1,1,1,1,Personal claim,Firearms,Automatic Weapon,Firearms,Handgun,,,0,0,0,0,0,0,1,Minor (likely < $1 million),0,,,,,,,,-9,-9,0,-9,0
201511190054,2015,11,19,Virginia,Falls Church,38.861472,-77.146621,0,1,1,1,0,,0,1,0,Facility/Infrastructure Attack,,Religious Figures/Institutions,Place of Worship,Dar Al-Hijrah Islamic Center,Mosque,United States,,,,,,,,,,,Anti-Muslim extremists,,,1,1,1,0,,Incendiary,Molotov Cocktail/Petrol Bomb,Fake Weapons,,,,0,0,0,0,0,0,1,Minor (likely < $1 million),0,,,,,,,,-9,-9,0,-9,0
201511230084,2015,11,23,Minnesota,Minneapolis,44.993387,-93.304452,0,1,1,1,0,,0,1,0,Armed Assault,,Private Citizens & Property,Political Party Member/Rally,Black Lives Matter,Rally,United States,,,,,,,,,,,Sovereign Citizen,White extremists,Supremacists,0,4,4,0,,Firearms,Handgun,,,,,0,0,0,5,5,0,0,,0,,,,,,,,0,0,0,0,0
201511270001,2015,11,27,Colorado,Colorado Springs,38.880893,-104.849045,0,1,1,1,0,,0,1,0,Hostage Taking (Barricade Incident),Armed Assault,Abortion Related,Clinics,"Planned Parenthood Federation of America, Inc.",Clinic,United States,,,,,,,,,,,Anti-Abortion extremists,,,1,1,1,1,Personal claim,Firearms,Automatic Weapon,,,,,3,3,0,9,9,0,0,,1,-99,-99,5,0,5,Successful Rescue,-99,-9,-9,0,-9,1
201512020012,2015,12,2,California,San Bernardino,34.07577,-117.277924,0,1,1,1,0,,0,1,0,Bombing/Explosion,Armed Assault,Government (General),"Government Personnel (excluding police, military)",San Bernardino Department of Public Health,Holiday Party,United States,,,,,,,,,,,Jihadi-inspired extremists,,,1,2,0,0,,Explosives/Bombs/Dynamite,Remote Trigger,Firearms,Automatic Weapon,,,16,15,2,17,17,0,0,,0,,,,,,,,-9,-9,0,-9,1
201512050031,2015,12,5,New York,New York City,40.781593,-73.91357,0,1,1,1,0,,0,1,0,Unarmed Assault,,Private Citizens & Property,Religion Identified,Not Applicable,Muslim Civilian,United States,,,,,,,,,,,Anti-Muslim extremists,,,1,1,1,0,,Melee,"Hands, Feet, Fists",,,,,0,0,0,1,1,0,0,,0,,,,,,,,-9,-9,0,-9,0
201512080038,2015,12,8,North Dakota,Grand Forks,47.900053,-97.044649,0,1,1,1,0,,0,1,0,Facility/Infrastructure Attack,,Business,Restaurant/Bar/Café,Jubba Cafe,Restaurant,United States,,,,,,,,,,,Anti-Muslim extremists,,,1,1,1,0,,Incendiary,Arson/Fire,,,,,0,0,0,0,0,0,1,Minor (likely < $1 million),0,,,,,,,,-9,-9,0,-9,0
201512110031,2015,12,11,California,Coachella,33.69288,-116.187442,0,1,1,1,0,,0,1,0,Facility/Infrastructure Attack,,Religious Figures/Institutions,Place of Worship,Islamic Society of Coachella Valley,Mosque,United States,,,,,,,,,,,Anti-Muslim extremists,,,1,1,1,0,,Incendiary,Molotov Cocktail/Petrol Bomb,,,,,0,0,0,0,0,0,1,Minor (likely < $1 million),0,,,,,,,,-9,-9,0,-9,0
201512260016,2015,12,26,California,Tracy,37.764563,-121.452503,0,1,1,1,0,,0,1,0,Armed Assault,,Religious Figures/Institutions,Place of Worship,Tracy Islamic Center,Mosque,United States,,,,,,,,,,,Unknown,,,0,-99,0,0,,Incendiary,Molotov Cocktail/Petrol Bomb,,,,,0,0,0,0,0,0,1,Minor (likely < $1 million),0,,,,,,,,-9,-9,0,-9,0
201512300045,2015,12,30,Pennsylvania,Colerain,39.896069,-76.056449,0,1,1,1,0,,0,1,0,Bombing/Explosion,,Private Citizens & Property,Religion Identified,Not Applicable,Amish Phone Shed,United States,,,,,,,,,,,Unknown,,,1,2,2,1,Personal claim,Explosives/Bombs/Dynamite,Other Explosive Type,,,,,0,0,0,0,0,0,1,Minor (likely < $1 million),0,,,,,,,,-9,-9,0,-9,0
