eventid,iyear,imonth,iday,provstate,city,latitude,longitude,vicinity,crit1,multiple,attacktype1_txt,attacktype2_txt,targtype1_txt,targsubtype1_txt,corp1,target1,natlty1_txt,targtype2_txt,targsubtype2_txt,corp2,target2,natlty2_txt,targtype3_txt,targsubtype3_txt,corp3,target3,natlty3_txt,gname,gname2,gsubname2,individual,nperps,nperpcap,claimed,claimmode_txt,weaptype1_txt,weapsubtype1_txt,weaptype2_txt,weapsubtype2_txt,weaptype3_txt,weapsubtype3_txt,nkill,nkillus,nkillter,nwound,nwoundus,nwoundte,property,propextent_txt,ishostkid,nhostkid,nhostkidus,nhours,ransom,hostkidoutcome,hostkidoutcome_txt,nreleased,INT_LOG,INT_IDEO,INT_MISC,INT_ANY,Twitter
2.02E+11,2016,9,2,Nevada,Las Vegas,36.197294,-115.131528,0,1,0,Facility/Infrastructure Attack,,Religious Figures/Institutions,Place of Worship,Holy Trinity African Methodist Episcopal Church,Church,United States,,,,,,,,,,,Unknown,,,0,-99,0,0,,Incendiary,Arson/Fire,,,,,0,0,0,0,0,0,1,Minor (likely < $1 million),0,,,,,,,,-9,-9,0,-9,0
2.02E+11,2016,9,12,Florida,Fort Pierce,27.374522,-80.337837,0,1,0,Facility/Infrastructure Attack,,Religious Figures/Institutions,Place of Worship,Islamic Center of Fort Pierce,Mosque,United States,,,,,,,,,,,Anti-Muslim extremists,,,1,1,1,1,Personal claim,Incendiary,Arson/Fire,,,,,0,0,0,0,0,0,1,Unknown,0,,,,,,,,-9,-9,0,-9,0
2.02E+11,2016,9,17,New Jersey,Seaside Park,39.925457,-74.074757,0,1,1,Bombing/Explosion,,Private Citizens & Property,"Procession/Gathering (funeral, wedding, birthday, religious)",Seaside Semper Five Marine Corps Charity 5K,Charity Race,United States,,,,,,,,,,,Jihadi-inspired extremists,,,1,1,1,1,Note left at scene,Explosives/Bombs/Dynamite,Remote Trigger,,,,,0,0,0,0,0,0,1,Minor (likely < $1 million),0,,,,,,,,-9,-9,0,-9,1
2.02E+11,2016,9,18,New Jersey,Elizabeth,40.666781,-74.215785,0,1,1,Bombing/Explosion,,Transportation,Train/Train Tracks/Trolley,New Jersey Transit Corporation,Elizabeth Train Station,United States,,,,,,,,,,,Jihadi-inspired extremists,,,1,1,1,1,Note left at scene,Explosives/Bombs/Dynamite,Remote Trigger,,,,,0,0,0,0,0,0,1,Minor (likely < $1 million),0,,,,,,,,-9,-9,0,-9,1
2.02E+11,2016,9,24,Missouri,Kansas City,39.099432,-94.578029,0,1,0,Facility/Infrastructure Attack,,Religious Figures/Institutions,Place of Worship,Islamic Center of Northland,Mosque,United States,,,,,,,,,,,Unknown,,,0,-99,0,0,,Incendiary,Molotov Cocktail/Petrol Bomb,,,,,0,0,0,0,0,0,1,Minor (likely < $1 million),0,,,,,,,,-9,-9,0,-9,0
2.02E+11,2016,10,3,Nebraska,Lincoln,40.846274,-96.700467,0,1,1,Facility/Infrastructure Attack,,Religious Figures/Institutions,Place of Worship,Belmont Baptist Church,Church,United States,,,,,,,,,,,Unknown,,,0,-99,0,0,,Incendiary,Arson/Fire,,,,,0,0,0,0,0,0,1,Minor (likely < $1 million),0,,,,,,,,-9,-9,0,-9,0
2.02E+11,2016,10,3,Nebraska,Lincoln,40.846244,-96.700429,0,1,1,Facility/Infrastructure Attack,,Religious Figures/Institutions,Place of Worship,Belmont Baptist Church,Church,United States,,,,,,,,,,,Unknown,,,0,-99,0,0,,Incendiary,Arson/Fire,,,,,0,0,0,0,0,0,1,Minor (likely < $1 million),0,,,,,,,,-9,-9,0,-9,0
2.02E+11,2016,10,4,Indiana,Indianapolis,39.825657,-86.227067,0,1,0,Armed Assault,,Police,"Police Building (headquarters, station, school)",Indianapolis Metropolitan Police Department,Headquarters,United States,,,,,,,,,,,Anti-White extremists,,,0,1,1,1,Note left at scene,Firearms,Automatic Weapon,,,,,0,0,0,0,0,0,1,Minor (likely < $1 million),0,,,,,,,,-9,-9,0,-9,0
2.02E+11,2016,10,9,Florida,Century,30.963733,-87.267362,0,1,0,Facility/Infrastructure Attack,,Religious Figures/Institutions,Place of Worship,Wesley Chapel Church,Church,United States,,,,,,,,,,,Unknown,,,0,-99,0,0,,Incendiary,Arson/Fire,,,,,0,0,0,0,0,0,1,Unknown,0,,,,,,,,-9,-9,0,-9,0
2.02E+11,2016,10,13,Indiana,Indianapolis,39.826113,-86.227124,0,1,0,Armed Assault,,Police,"Police Building (headquarters, station, school)",Indianapolis Metropolitan Police Department,Headquarter,United States,,,,,,,,,,,Anti-White extremists,,,1,1,1,1,Note left at scene,Firearms,Automatic Weapon,,,,,0,0,0,0,0,0,1,Minor (likely < $1 million),0,,,,,,,,-9,-9,0,-9,0
2.02E+11,2016,10,15,Iowa,Reasnor,41.578663,-93.022688,0,1,0,Facility/Infrastructure Attack,,Business,Gas/Oil,Dakota Access LLC,Oil Pipeline Construction Equipment,United States,,,,,,,,,,,Unknown,,,0,-99,0,0,,Incendiary,Arson/Fire,,,,,0,0,0,0,0,0,1,Major (likely > $1 million but < $1 billion),0,,,,,,,,-9,-9,0,-9,0
2.02E+11,2016,10,16,North Carolina,Hillsborough,36.060668,-79.101578,0,1,0,Facility/Infrastructure Attack,,Private Citizens & Property,Political Party Member/Rally,Republican Party (GOP),Office,United States,,,,,,,,,,,Unknown,,,0,-99,0,0,,Incendiary,Molotov Cocktail/Petrol Bomb,,,,,0,0,0,0,0,0,1,Minor (likely < $1 million),0,,,,,,,,-9,-9,0,-9,0
2.02E+11,2016,11,23,New Mexico,Albuquerque,35.083511,-106.586552,0,1,0,Facility/Infrastructure Attack,,Business,Medical/Pharmaceutical,Project Defending Life,Pro-Life Pregnancy Center,United States,,,,,,,,,,,Unknown,,,0,-99,0,0,,Incendiary,Arson/Fire,,,,,0,0,0,0,0,0,1,Minor (likely < $1 million),0,,,,,,,,-9,-9,0,-9,0
2.02E+11,2016,11,25,Washington,Tacoma,47.154901,-122.368098,0,1,0,Facility/Infrastructure Attack,,Religious Figures/Institutions,Place of Worship,Our Savior Lutheran Church,Church,United States,,,,,,,,,,,Unknown,,,0,-99,0,0,,Incendiary,Arson/Fire,,,,,0,0,0,0,0,0,1,Minor (likely < $1 million),0,,,,,,,,-9,-9,0,-9,0
2.02E+11,2016,12,7,California,Redlands,34.053546,-117.181537,0,1,0,Facility/Infrastructure Attack,,Religious Figures/Institutions,Place of Worship,First Baptist Church,Church,United States,,,,,,,,,,,Unknown,,,0,-99,0,0,,Incendiary,Arson/Fire,,,,,0,0,0,0,0,0,1,Minor (likely < $1 million),0,,,,,,,,-9,-9,0,-9,0
